input_RES1_capacity,input_RES2_capacity,input_RES3_capacity,input_RES5_capacity,input_storage_pump_cap,input_cap_pump_el2,input_cap_turbine_el2,input_storage_pump_cap2,input_HH_HP_heat,alfa,CO2 emissions [Mt],Total annual costs [Meuro],
47000,41000,26000,37000,210,49000,38000,80,10.0,20.0,174.08650000000003,100853.62978278806,
28000,46000,104000,117000,490,24000,47000,100,40.0,45.0,130.63250000000002,104922.70419996101,
14000,43000,47000,117000,220,10000,44000,500,90.0,15.0,167.24150000000003,98177.3719622289,
54000,31000,153000,17000,30,34000,4000,220,20.0,5.0,178.5705,100315.7292709808,
56000,8000,165000,108000,70,38000,44000,330,80.0,50.0,130.8385,101326.89065399845,
63000,22000,88000,35000,120,50000,18000,210,0.0,15.0,166.43850000000003,97963.3719622289,
32000,28000,156000,20000,0,24000,46000,140,40.0,60.0,143.7435,108634.15782439432,
60000,6000,71000,15000,390,46000,12000,330,0.0,40.0,167.08950000000002,100773.99049865609,
15000,27000,126000,79000,220,16000,45000,10,20.0,40.0,154.07350000000002,98786.99049865609,
47000,36000,160000,87000,450,38000,5000,220,30.0,40.0,133.28950000000003,104183.99049865609,
22000,11000,28000,79000,200,8000,43000,50,0.0,15.0,201.05450000000002,96464.3719622289,
19000,24000,73000,78000,500,26000,0,0,100.0,40.0,147.80550000000002,98830.99049865609,
40000,13000,169000,97000,30,43000,3000,410,30.0,50.0,153.40250000000003,102518.89065399845,
15000,30000,22000,25000,50,26000,26000,390,70.0,5.0,221.3265,99763.7292709808,
64000,25000,82000,95000,260,24000,44000,390,50.0,55.0,121.60549999999999,105068.97478354479,
40000,29000,176000,35000,230,22000,39000,490,50.0,30.0,145.11350000000002,99917.14689779637,
34000,6000,80000,23000,450,20000,19000,350,0.0,0.0,209.48250000000002,102019.39051079145,
54000,16000,39000,20000,170,29000,15000,150,30.0,55.0,158.85450000000003,104081.97478354479,
11000,36000,16000,107000,260,4000,46000,450,40.0,20.0,176.41150000000002,97279.62978278806,
60000,9000,31000,71000,80,2000,42000,500,30.0,45.0,159.02450000000002,97268.70419996101,
51000,30000,20000,112000,370,39000,1000,350,90.0,20.0,154.59850000000003,98335.62978278806,
62000,33000,25000,49000,50,50000,49000,300,0.0,35.0,158.5825,98690.72045617558,
32000,26000,139000,114000,30,1000,35000,340,0.0,5.0,192.94350000000003,100330.7292709808,
20000,41000,158000,75000,230,26000,43000,190,50.0,55.0,125.93849999999999,106340.97478354479,
41000,24000,119000,93000,490,20000,3000,400,0.0,0.0,168.67450000000002,101374.39051079145,
36000,18000,60000,52000,310,6000,25000,460,90.0,50.0,146.90050000000002,100657.89065399845,
12000,29000,142000,25000,320,40000,12000,220,0.0,20.0,169.10450000000003,98760.62978278806,
40000,45000,133000,14000,80,16000,27000,90,100.0,10.0,171.86450000000002,100834.60456981575,
32000,15000,141000,38000,270,7000,2000,360,50.0,15.0,170.2435,96739.3719622289,
61000,45000,128000,49000,400,18000,29000,280,40.0,55.0,119.41449999999999,109939.97478354479,
32000,25000,93000,113000,430,0,13000,180,50.0,0.0,172.04250000000002,99279.39051079145,
29000,44000,37000,19000,450,12000,47000,390,80.0,30.0,170.12350000000004,103147.14689779637,
19000,11000,60000,13000,20,8000,7000,240,50.0,0.0,231.34750000000003,98156.39051079145,
47000,32000,84000,47000,210,35000,11000,250,20.0,50.0,136.50950000000003,101834.89065399845,
16000,32000,127000,57000,140,20000,30000,50,80.0,15.0,175.47850000000003,98506.3719622289,
50000,13000,114000,110000,110,49000,16000,80,0.0,5.0,177.78650000000002,98153.7292709808,
46000,20000,31000,48000,500,17000,40000,210,30.0,25.0,176.1485,101080.22937394981,
51000,27000,94000,78000,420,41000,47000,110,20.0,50.0,130.8565,104936.89065399845,
46000,31000,70000,23000,370,14000,29000,80,20.0,40.0,152.57450000000003,100848.99049865609,
67000,25000,76000,18000,0,29000,0,310,60.0,35.0,163.01050000000004,98085.72045617558,
59000,3000,148000,104000,190,34000,23000,420,10.0,60.0,127.5375,106804.15782439432,
51000,1000,160000,89000,50,24000,12000,220,10.0,45.0,154.5645,98149.70419996101,
67000,21000,154000,74000,80,49000,26000,280,90.0,5.0,164.3145,100260.7292709808,
36000,10000,122000,35000,40,36000,40000,240,90.0,60.0,141.69450000000003,105797.15782439432,
26000,19000,166000,60000,200,37000,38000,170,80.0,35.0,146.81250000000003,97988.72045617558,
23000,4000,175000,61000,280,36000,14000,160,40.0,30.0,159.29650000000004,96583.14689779637,
36000,28000,119000,18000,360,19000,29000,150,10.0,30.0,155.80050000000003,99169.14689779637,
15000,44000,157000,43000,340,50000,1000,310,20.0,20.0,157.94750000000002,101168.62978278806,
56000,45000,148000,18000,20,19000,15000,430,50.0,35.0,146.56850000000003,100792.72045617558,
43000,30000,150000,35000,50,41000,13000,230,10.0,15.0,167.24150000000003,98618.3719622289,
23000,44000,150000,5000,370,15000,49000,300,70.0,25.0,151.56050000000002,101744.22937394981,
65000,3000,147000,107000,280,31000,16000,40,30.0,55.0,127.7515,104135.97478354479,
