input_RES1_capacity,input_RES2_capacity,input_RES3_capacity,input_RES5_capacity,input_storage_pump_cap,input_cap_pump_el2,input_cap_turbine_el2,input_storage_pump_cap2,input_HH_HP_heat,alfa,IND_el,IND_green_gas,CO2 emissions [Mt],Total annual costs [Meuro],
14000,11000,171000,5000,300,42000,24000,430,50.0,5.0,0.0,60.0,205.99450000000002,145750.1167569938,
64000,13000,81000,17000,240,34000,9000,0,30.0,25.0,30.0,0.0,228.63450000000003,122065.25669306284,
54000,10000,110000,13000,0,18000,13000,50,20.0,60.0,40.0,90.0,207.11450000000002,100000000.0,
32000,25000,87000,24000,240,6000,41000,90,20.0,5.0,50.0,50.0,222.53450000000004,130739.72339584382,
33000,16000,23000,75000,160,47000,0,380,50.0,10.0,30.0,60.0,214.81650000000002,143610.99205582877,
57000,44000,148000,19000,350,39000,2000,240,10.0,40.0,0.0,30.0,207.10950000000003,148098.1979012191,
27000,38000,105000,93000,370,42000,43000,180,70.0,60.0,10.0,80.0,136.7195,166462.33203270735,
45000,34000,59000,116000,360,27000,34000,200,0.0,35.0,10.0,60.0,176.49550000000002,144496.1079421886,
18000,22000,64000,47000,500,43000,16000,400,60.0,45.0,30.0,40.0,188.93050000000002,143292.30496367405,
33000,31000,56000,56000,170,43000,24000,250,40.0,55.0,40.0,70.0,171.72650000000002,100000000.0,
14000,14000,144000,81000,370,21000,19000,160,30.0,50.0,90.0,30.0,231.68350000000004,100000000.0,
15000,3000,31000,59000,370,31000,50000,440,10.0,35.0,0.0,10.0,230.04650000000004,121193.1411364386,
27000,32000,82000,70000,120,43000,2000,230,10.0,15.0,0.0,0.0,244.05850000000004,126225.39928134193,
24000,24000,58000,110000,450,17000,20000,500,40.0,40.0,30.0,30.0,191.66250000000002,129637.19790121912,
29000,38000,55000,15000,330,28000,50000,100,80.0,20.0,40.0,80.0,211.99250000000004,100000000.0,
24000,16000,71000,99000,320,29000,7000,380,60.0,30.0,50.0,100.0,225.6845,100000000.0,
26000,8000,23000,45000,460,45000,3000,50,10.0,0.0,20.0,50.0,239.99050000000003,145411.38463565448,
52000,46000,103000,18000,460,23000,17000,30,60.0,20.0,30.0,70.0,177.19050000000001,151383.4106299511,
16000,24000,78000,58000,300,10000,44000,90,40.0,60.0,100.0,0.0,232.89050000000003,127357.18514350735,
35000,29000,89000,25000,220,16000,43000,120,90.0,45.0,70.0,60.0,218.61750000000004,100000000.0,
17000,31000,122000,119000,250,11000,25000,440,20.0,20.0,20.0,100.0,198.07550000000003,100000000.0,
55000,23000,130000,105000,80,50000,22000,180,70.0,5.0,10.0,50.0,208.18750000000003,147210.72339584382,
12000,44000,146000,23000,280,17000,27000,390,30.0,20.0,0.0,50.0,201.56650000000002,138776.62390765108,
16000,39000,26000,13000,270,46000,19000,120,90.0,20.0,20.0,40.0,220.60950000000003,141060.2305465011,
46000,27000,94000,110000,80,4000,41000,200,50.0,35.0,70.0,50.0,225.85250000000002,100000000.0,
64000,11000,37000,96000,480,36000,24000,260,30.0,10.0,0.0,20.0,220.02250000000004,133333.4186112288,
30000,2000,172000,93000,310,48000,13000,400,30.0,55.0,80.0,70.0,231.20850000000002,100000000.0,
32000,15000,131000,17000,500,2000,50000,190,50.0,55.0,20.0,40.0,176.76350000000002,134973.57554725782,
55000,38000,106000,59000,380,19000,26000,140,80.0,60.0,100.0,70.0,229.91150000000002,100000000.0,
62000,33000,40000,58000,340,37000,21000,450,70.0,25.0,40.0,70.0,182.0765,100000000.0,
40000,37000,123000,103000,170,48000,13000,180,60.0,30.0,50.0,20.0,202.4165,137295.96093920938,
28000,14000,18000,32000,490,28000,9000,100,40.0,15.0,10.0,60.0,214.67550000000003,141934.75944824194,
23000,34000,23000,81000,260,40000,30000,100,100.0,0.0,80.0,60.0,283.97749999999996,100000000.0,
36000,36000,131000,52000,110,45000,10000,380,80.0,50.0,70.0,100.0,228.52450000000002,100000000.0,
42000,20000,95000,22000,490,34000,45000,480,10.0,60.0,90.0,40.0,234.12850000000003,100000000.0,
66000,9000,79000,91000,30,10000,2000,430,0.0,15.0,80.0,60.0,270.25449999999995,100000000.0,
21000,20000,124000,61000,20,25000,3000,160,0.0,10.0,80.0,40.0,278.92249999999996,100000000.0,
12000,43000,116000,65000,300,39000,7000,190,70.0,15.0,40.0,20.0,219.41950000000003,135253.18600364192,
32000,46000,88000,62000,420,3000,19000,130,20.0,60.0,80.0,20.0,188.59950000000003,135690.97186580734,
61000,13000,61000,105000,330,25000,35000,140,70.0,55.0,100.0,10.0,210.9455,100000000.0,
61000,18000,16000,64000,280,15000,15000,310,40.0,10.0,20.0,10.0,229.07550000000003,118367.02525007878,
11000,4000,28000,91000,130,14000,21000,30,10.0,55.0,80.0,20.0,250.11350000000002,126149.78882495782,
25000,30000,101000,38000,160,48000,6000,340,70.0,10.0,80.0,30.0,249.61650000000003,100000000.0,
29000,31000,166000,35000,440,22000,32000,390,10.0,30.0,30.0,80.0,178.24450000000002,100000000.0,
55000,42000,114000,90000,450,40000,9000,500,100.0,0.0,0.0,90.0,191.20550000000003,169241.95808025447,
59000,40000,31000,62000,190,2000,45000,230,20.0,20.0,0.0,40.0,211.74750000000003,128400.23054650109,
64000,38000,97000,17000,100,35000,25000,450,10.0,20.0,50.0,20.0,210.48950000000002,130799.4438242011,
57000,10000,130000,85000,360,19000,19000,140,80.0,20.0,50.0,70.0,202.38250000000002,100000000.0,
21000,14000,73000,27000,340,46000,23000,50,30.0,10.0,80.0,60.0,296.4745,100000000.0,
31000,19000,127000,41000,110,38000,42000,120,100.0,45.0,0.0,50.0,174.44750000000002,139823.69832482404,
57000,27000,20000,103000,110,4000,47000,490,10.0,20.0,30.0,20.0,221.92650000000003,117360.4438242011,
32000,7000,21000,109000,170,21000,40000,70,40.0,10.0,20.0,50.0,217.1785,129212.59869467877,
35000,0,122000,62000,290,22000,34000,280,60.0,5.0,70.0,60.0,262.00249999999994,100000000.0,
48000,1000,49000,46000,20,23000,22000,420,70.0,30.0,30.0,40.0,214.2075,124924.74766150939,
41000,18000,108000,25000,420,29000,26000,410,70.0,15.0,40.0,50.0,198.1365,140210.36608709194,
19000,18000,114000,106000,270,1000,40000,360,0.0,10.0,0.0,40.0,224.40650000000002,126750.20533352878,
64000,18000,19000,27000,70,9000,10000,120,90.0,40.0,50.0,90.0,220.4455,100000000.0,
67000,25000,160000,95000,490,46000,46000,460,60.0,0.0,20.0,40.0,207.97750000000002,152763.9912745045,
47000,6000,145000,78000,90,42000,31000,260,40.0,40.0,30.0,60.0,178.90350000000004,144029.37798466912,
66000,32000,41000,49000,390,1000,35000,380,90.0,30.0,10.0,70.0,177.09750000000003,140264.9277449594,
37000,4000,41000,114000,260,24000,16000,240,20.0,0.0,40.0,40.0,230.34550000000002,130556.99127450447,
48000,31000,109000,77000,0,6000,40000,140,60.0,50.0,100.0,30.0,262.02349999999996,100000000.0,
22000,22000,136000,119000,170,34000,2000,170,10.0,20.0,40.0,20.0,231.93850000000003,131519.4438242011,
66000,37000,178000,89000,200,20000,48000,410,0.0,55.0,100.0,100.0,261.19149999999996,100000000.0,
52000,19000,109000,33000,380,7000,18000,410,10.0,20.0,80.0,90.0,267.43749999999994,100000000.0,
54000,15000,51000,67000,350,37000,1000,80,10.0,10.0,30.0,30.0,218.3625,134262.81197237878,
61000,29000,164000,102000,110,5000,43000,0,20.0,55.0,60.0,60.0,201.52050000000003,100000000.0,
41000,36000,140000,12000,150,13000,34000,290,10.0,50.0,90.0,50.0,238.92650000000003,100000000.0,
38000,32000,74000,89000,220,48000,49000,110,50.0,60.0,90.0,30.0,209.1665,100000000.0,
55000,36000,23000,32000,460,29000,40000,40,100.0,50.0,30.0,90.0,166.02450000000002,100000000.0,
44000,7000,175000,8000,400,21000,8000,110,10.0,55.0,100.0,30.0,238.84150000000002,100000000.0,
56000,30000,111000,87000,320,44000,20000,430,80.0,35.0,20.0,10.0,196.81250000000003,134490.14113643861,
62000,15000,139000,74000,160,33000,46000,300,60.0,55.0,60.0,40.0,170.33350000000002,142424.57554725782,
21000,29000,173000,62000,410,21000,5000,70,100.0,20.0,40.0,80.0,199.95550000000003,100000000.0,
15000,27000,153000,69000,100,45000,35000,270,30.0,5.0,30.0,70.0,204.92650000000003,150529.51011814384,
26000,17000,138000,87000,360,42000,38000,370,10.0,25.0,0.0,70.0,181.44350000000003,151275.01022111284,
50000,1000,65000,73000,200,12000,27000,40,40.0,55.0,60.0,90.0,224.47150000000002,100000000.0,
46000,32000,125000,98000,40,44000,38000,90,20.0,55.0,70.0,100.0,239.02850000000004,100000000.0,
57000,24000,146000,114000,210,14000,30000,220,100.0,0.0,40.0,40.0,218.34250000000003,135607.9912745045,
30000,14000,52000,56000,50,33000,35000,340,30.0,50.0,20.0,90.0,173.92050000000003,100000000.0,
31000,28000,105000,86000,470,17000,46000,40,40.0,15.0,30.0,90.0,197.76050000000004,100000000.0,
21000,7000,86000,24000,300,28000,13000,150,0.0,10.0,60.0,50.0,257.16249999999997,100000000.0,
53000,39000,146000,50000,320,1000,12000,170,50.0,5.0,60.0,10.0,230.11650000000003,123178.14995124382,
54000,40000,93000,64000,350,37000,16000,20,50.0,25.0,70.0,10.0,209.15050000000002,132558.65005421283,
60000,3000,142000,8000,220,38000,31000,340,20.0,0.0,100.0,60.0,306.40549999999996,100000000.0,
68000,26000,82000,77000,440,5000,49000,180,70.0,35.0,80.0,80.0,230.93650000000002,100000000.0,
63000,45000,97000,99000,400,50000,11000,300,30.0,35.0,10.0,100.0,166.21150000000003,100000000.0,
68000,6000,101000,95000,160,19000,42000,450,70.0,35.0,90.0,70.0,256.63949999999994,100000000.0,
30000,23000,43000,19000,260,9000,32000,490,0.0,15.0,70.0,0.0,276.10549999999995,117174.39928134193,
67000,9000,96000,83000,150,32000,25000,450,10.0,10.0,90.0,70.0,278.6425,100000000.0,
11000,12000,39000,12000,490,31000,32000,460,70.0,15.0,50.0,10.0,284.74749999999995,131467.79264249193,
57000,11000,145000,89000,440,1000,4000,460,80.0,5.0,60.0,20.0,223.8565,124314.54331239383,
43000,26000,91000,119000,230,47000,23000,90,30.0,55.0,70.0,20.0,188.29550000000003,141461.7888249578,
60000,42000,98000,54000,270,25000,22000,500,20.0,60.0,30.0,70.0,144.94850000000002,158197.93867155735,
27000,11000,160000,112000,80,17000,25000,150,0.0,5.0,70.0,40.0,259.10749999999996,100000000.0,
18000,46000,162000,11000,310,7000,14000,460,100.0,0.0,20.0,70.0,203.92950000000002,145343.17135795447,
34000,35000,43000,109000,0,7000,11000,440,30.0,5.0,90.0,60.0,307.2725,100000000.0,
68000,24000,77000,83000,490,14000,46000,260,60.0,45.0,0.0,60.0,170.6605,146281.09168597404,
42000,1000,52000,112000,450,12000,22000,430,30.0,0.0,90.0,20.0,269.72849999999994,100000000.0,
17000,37000,63000,25000,400,9000,4000,90,90.0,35.0,10.0,100.0,168.18350000000004,100000000.0,
60000,44000,94000,35000,330,30000,27000,220,10.0,35.0,10.0,90.0,155.70650000000003,158501.2880256386,
32000,20000,162000,31000,470,35000,14000,240,80.0,60.0,0.0,100.0,128.28349999999998,171612.11875500734,
22000,3000,40000,20000,230,21000,36000,130,100.0,25.0,30.0,70.0,219.92450000000002,138520.01022111284,
65000,9000,31000,83000,240,43000,11000,150,0.0,55.0,80.0,50.0,224.99150000000003,100000000.0,
36000,46000,79000,79000,80,39000,46000,210,80.0,55.0,0.0,10.0,189.61550000000003,135249.39546380783,
61000,36000,27000,119000,60,11000,47000,190,100.0,15.0,20.0,0.0,234.60450000000003,115696.39928134193,
24000,24000,83000,49000,460,10000,48000,410,30.0,60.0,40.0,40.0,175.9045,140110.75858810736,
17000,35000,100000,7000,160,41000,28000,140,30.0,50.0,40.0,100.0,203.75350000000003,100000000.0,
26000,28000,159000,79000,390,12000,0,330,100.0,40.0,40.0,20.0,196.92550000000003,128689.80454006912,
41000,27000,77000,86000,500,40000,27000,70,100.0,35.0,20.0,100.0,168.50450000000004,100000000.0,
22000,24000,114000,116000,80,13000,24000,410,100.0,55.0,10.0,60.0,171.21050000000002,141166.3622695578,
47000,23000,132000,101000,220,22000,36000,120,80.0,20.0,80.0,30.0,223.63250000000002,100000000.0,
67000,4000,90000,94000,450,19000,22000,90,40.0,20.0,80.0,0.0,226.76850000000002,120247.65710190109,
47000,46000,89000,34000,190,12000,41000,30,100.0,15.0,80.0,90.0,267.09849999999994,100000000.0,
28000,9000,158000,40000,200,19000,42000,370,40.0,20.0,10.0,80.0,184.7255,143082.8039911011,
29000,4000,60000,117000,320,4000,2000,150,60.0,0.0,40.0,10.0,251.53450000000004,115327.81119105447,
64000,29000,100000,20000,250,19000,22000,170,100.0,5.0,50.0,100.0,233.64550000000003,100000000.0,
26000,2000,155000,84000,390,48000,28000,280,50.0,10.0,10.0,10.0,230.2855,132429.0252500788,
32000,8000,25000,91000,420,50000,48000,70,40.0,0.0,40.0,30.0,241.35350000000003,139334.59791335446,
67000,6000,177000,48000,230,38000,28000,10,30.0,30.0,90.0,70.0,261.36249999999995,100000000.0,
39000,7000,71000,57000,490,1000,45000,380,60.0,10.0,60.0,30.0,234.9105,124802.81197237878,
35000,43000,155000,109000,340,2000,31000,210,80.0,60.0,20.0,20.0,185.75450000000004,138703.97186580734,
53000,30000,104000,64000,160,47000,41000,330,70.0,55.0,100.0,100.0,264.21049999999997,100000000.0,
26000,16000,120000,7000,10,34000,35000,280,90.0,40.0,60.0,0.0,240.77150000000003,121047.01781776911,
30000,19000,71000,101000,240,17000,9000,180,0.0,5.0,70.0,20.0,244.09550000000002,124289.54331239383,
